#,Wine,Country,Region,Classification,Style,Grapes
1415,Ockfener Bockstein,Germany,Mosel,Einzellage,White,Riesling
1416,Odesa,Ukraine,Odesa,PGI,Sparkling,Chardonnay; Aligoté
1417,Odobești,Romania,Moldovan Hills,DOC,White,Fetească Albă; Riesling Italian
1418,Odzi Valley,Zimbabwe,Mashonaland,Regional,Red,Cabernet Sauvignon; Pinotage
1419,Oeil-de-Perdrix,Switzerland,Neuchâtel,AOC,Rosé,Pinot Noir
1420,Offida Passerina,Italy,Marche,DOCG,White,Passerina
1421,Offida Pecorino,Italy,Marche,DOCG,White,Pecorino
1422,Oger,France,Champagne,Grand Cru village,Sparkling,Chardonnay
1423,Ohio River Valley,United States,Ohio,AVA,White,Catawba; Vidal
1424,Oiry,France,Champagne,Grand Cru village,Sparkling,Chardonnay
1425,Okanagan Falls,Canada,British Columbia,BC GI,Red,Pinot Noir; Riesling
1426,Okanagan Valley,Canada,British Columbia,BC GI,Red,Merlot; Pinot Noir; Cabernet Sauvignon
1427,Old Mission Peninsula,United States,Michigan,AVA,White,Riesling; Chardonnay
1428,Olifants River,South Africa,Olifants River,WO,White,Chenin Blanc; Colombard
1429,Ollwiller,France,Alsace,AOC Grand Cru,White,Riesling
1430,Oloroso,Spain,Andalusia,DO,Fortified,Palomino
1431,Oltrepò Pavese,Italy,Lombardy,DOC,Red,Croatina; Barbera; Pinot Nero
1432,Oltrepò Pavese Metodo Classico,Italy,Lombardy,DOCG,Sparkling,Pinot Nero
1433,Omaruru,Namibia,Erongo,Regional,Red,Colombard; Ruby Cabernet
1434,Orange,Australia,New South Wales,GI,White,Chardonnay; Sauvignon Blanc
1435,Orcia,Italy,Tuscany,DOC,Red,Sangiovese
1436,Ormond,New Zealand,Gisborne,Regional,White,Chardonnay
1437,Orta Nova,Italy,Puglia,DOC,Red,Sangiovese; Nero di Troia
1438,Ortenau,Germany,Baden,Bereich,White,Klingelberger
1439,Ortona,Italy,Abruzzo,DOC,White,Trebbiano Abruzzese
1440,Ortrugo dei Colli Piacentini,Italy,Emilia-Romagna,DOC,White,Ortrugo
1441,Orvieto,Italy,Umbria,DOC,White,Grechetto; Trebbiano
1442,Orvieto Classico,Italy,Umbria,DOC,White,Grechetto; Procanico
1443,Osaka,Japan,Osaka,GI,Red,Delaware; Merlot
1444,Osorno,Chile,Austral,DO,Red,Pinot Noir; Chardonnay
1445,Osoyoos,Canada,British Columbia,BC GI,Red,Cabernet Sauvignon; Merlot
1446,Osterberg,France,Alsace,AOC Grand Cru,White,Riesling
1447,Ostuni,Italy,Puglia,DOC,White,Impigno; Francavidda
1448,Otazu,Spain,Navarra & Aragón,DO de Pago,Red,Cabernet Sauvignon; Tempranillo
1449,Outer Coastal Plain,United States,New Jersey,AVA,Red,Cabernet Franc; Chambourcin
1450,Overberg,South Africa,Cape South Coast,WO,White,Sauvignon Blanc
1451,Ozark Highlands,United States,Missouri,AVA,Red,Norton; Vignoles
1452,Paardeberg,South Africa,Coastal Region,WO,Red,Syrah; Chenin Blanc
1453,Paarl,South Africa,Coastal Region,WO,Red,Shiraz; Cabernet Sauvignon
1454,Pacheco Pass,United States,California (Bay Area),AVA,Red,Cabernet Sauvignon
1455,Pacherenc du Vic-Bilh,France,Southwest France,AOC,Sweet White,Petit Manseng; Gros Manseng
1456,Padthaway,Australia,South Australia,GI,White,Chardonnay; Shiraz
1457,Pago Guijoso,Spain,Castilla-La Mancha,DO de Pago,Red,Cabernet Sauvignon
1458,Paicines,United States,California (Central Coast),AVA,Red,Pinot Noir
1459,País,Chile,National,Grape wine,Red,País
1460,Palette,France,Provence,AOC,Red,Mourvèdre; Grenache
1461,Palmela,Portugal,Setúbal,DOC,Red,Castelão
1462,Palo Cortado,Spain,Andalusia,DO,Fortified,Palomino
1463,Pamid,Bulgaria,National,Grape wine,Red,Pamid
1464,Panciu,Romania,Moldovan Hills,DOC,Sparkling,Fetească Regală
1465,Pangeon,Greece,Macedonia,PGI,Red,Limnio
1466,Pannonhalma,Hungary,Észak-Dunántúl,PDO,White,Olaszrizling; Riesling
1467,Panquehue,Chile,Aconcagua,DO,Red,Syrah
1468,Papegaaiberg,South Africa,Coastal Region,WO,Red,Cabernet Sauvignon
1469,Paraje Altamira,Argentina,Mendoza,GI,Red,Malbec
1470,Paro Valley,Bhutan,Paro,Regional,Red,Cabernet Sauvignon
1471,Paros,Greece,Cyclades,PDO,Red,Mandilaria; Monemvasia
1472,Parras de la Fuente,Mexico,Coahuila,Regional,Red,Cabernet Sauvignon; Shiraz
1473,Parrina,Italy,Tuscany,DOC,Red,Sangiovese
1474,Paso Robles,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon; Zinfandel; Syrah
1475,Paso Robles Estrella District,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
1476,Paso Robles Highlands District,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
1477,Passito di Pantelleria,Italy,Sicily,DOC,Sweet White,Zibibbo
1478,Patras,Greece,Peloponnese,PDO,White,Roditis
1479,Patrimonio,France,Corsica,AOC,Red,Nielluccio
1480,Pauillac,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1481,Payogasta,Argentina,Salta,GI,Red,Malbec
1482,Pcinja,North Macedonia,Pcinja-Osogovo,PDO,Red,Vranec
1483,Pécharmant,France,Southwest France,AOC,Red,Merlot; Cabernet Sauvignon
1484,Pécs,Hungary,Pannon,PDO,White,Cirfandli
1485,Pedro Ximénez Sherry,Spain,Andalusia,DO,Fortified,Pedro Ximénez
1486,Peel,Australia,Western Australia,GI,Red,Shiraz
1487,Pelagonija,North Macedonia,Pelagonija-Polog,PDO,Red,Vranec
1488,Pelješac,Croatia,Dalmatia,PDO,Red,Plavac Mali
1489,Pemberton,Australia,Western Australia,GI,Red,Pinot Noir; Chardonnay
1490,Pencahue,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1491,Penedès,Spain,Catalonia,DO,White,Xarel·lo; Macabeo; Parellada
1492,Península de Setúbal,Portugal,Setúbal,VR,Red,Castelão; Syrah
1493,Penisola Sorrentina,Italy,Campania,DOC,Red,Piedirosso
1494,Pentro di Isernia,Italy,Molise,DOC,Red,Montepulciano; Sangiovese
1495,Peralillo,Chile,Central Valley,DO,Red,Carmenère
1496,Perdriel,Argentina,Mendoza,GI,Red,Malbec
1497,Pernand-Vergelesses,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
1498,Perricoota,Australia,New South Wales,GI,Red,Shiraz
1499,Perth Hills,Australia,Western Australia,GI,Red,Shiraz
1500,Pessac-Léognan,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1501,Pessac-Léognan Blanc,France,Bordeaux (Left Bank),AOC,White,Sauvignon Blanc; Sémillon
1502,Petaluma Gap,United States,California (Sonoma),AVA,Red,Pinot Noir; Syrah
1503,Petit Chablis,France,Burgundy (Chablis),AOC,White,Chardonnay
1504,Petite Arvine,Switzerland,Valais,AOC,White,Petite Arvine
1505,Peumo,Chile,Central Valley,DO,Red,Carmenère
1506,Peza,Greece,Crete,PDO,Red,Kotsifali; Mandilaria
1507,Pfalz,Germany,Pfalz,Anbaugebiet,White,Riesling; Spätburgunder
1508,Pfersigberg,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Riesling
1509,Pfingstberg,France,Alsace,AOC Grand Cru,White,Riesling
1510,Phan Rang,Vietnam,Ninh Thuận,Regional,Red,Cardinal
1511,Phnom Banan,Cambodia,Battambang,Regional,Red,Shiraz
1512,Phu Rua,Thailand,Loei,Regional,Red,Shiraz; Chenin Blanc
1513,Piave,Italy,Veneto,DOC,Red,Raboso; Merlot
1514,Piave Malanotte,Italy,Veneto,DOCG,Red,Raboso Piave
1515,Pic Saint-Loup,France,Languedoc,AOC,Red,Syrah; Grenache; Mourvèdre
1516,Piccadilly Valley,Australia,South Australia,GI,Sparkling,Chardonnay; Pinot Noir
1517,Pico,Portugal,Azores,DOC,White,Verdelho; Arinto dos Açores
1518,Picpoul de Pinet,France,Languedoc,AOC,White,Piquepoul Blanc
1519,Piekenierskloof,South Africa,Coastal Region,WO,Red,Grenache
1520,Piemonte,Italy,Piedmont,DOC,Red,Barbera; Nebbiolo
1521,Pierrevert,France,Provence,AOC,Rosé,Grenache; Syrah
1522,Piesporter Goldtröpfchen,Germany,Mosel,Einzellage,White,Riesling
1523,Pietroasa,Romania,Muntenia,DOC,Sweet White,Tămâioasă Românească
1524,Pietroasele,Romania,Muntenia,DOC,Sweet White,Tămâioasă Românească
1525,Pine Mountain,United States,California (Mendocino),AVA,Red,Cabernet Sauvignon
1526,Pine Mountain-Cloverdale Peak,United States,California (Sonoma),AVA,Red,Cabernet Sauvignon
1527,Pineau des Charentes,France,Southwest France,AOC,Fortified,Ugni Blanc; Colombard
1528,Pinerolese,Italy,Piedmont,DOC,Red,Barbera; Bonarda Piemontese
1529,Pinhel,Portugal,Beiras,DOC,White,Síria
1530,Pinot Noir d'Alsace,France,Alsace,AOC,Red,Pinot Noir
1531,Pinotage,South Africa,National,Grape wine,Red,Pinotage
1532,Pinto Bandeira,Brazil,Rio Grande do Sul,IP,Sparkling,Chardonnay; Pinot Noir
1533,Pipeño,Chile,National,Traditional style,Red,País; Cinsault
1534,Pipers River,Australia,Tasmania,Regional,Sparkling,Chardonnay; Pinot Noir
1535,Pitsilia,Cyprus,Limassol,PDO,White,Xynisteri
1536,Pla de Bages,Spain,Catalonia,DO,Red,Picapoll; Cabernet Sauvignon
1537,Pla i Llevant,Spain,Balearic Islands,DO,Red,Callet; Manto Negro
1538,Plan de Dieu,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1539,Planalto Catarinense,Brazil,Santa Catarina,Regional,Red,Sauvignon Blanc; Merlot
1540,Plešivica Sparkling,Croatia,Uplands,PDO,Sparkling,Chardonnay; Pinot Noir
1541,Plettenberg Bay,South Africa,Cape South Coast,WO,Sparkling,Chardonnay; Pinot Noir
1542,Podkarpacie,Poland,Podkarpackie,PGI,White,Johanniter; Hibernal
1543,Podluží,Czechia,Moravia,Regional,Red,Frankovka
1544,Polkadraai Hills,South Africa,Coastal Region,WO,White,Chenin Blanc
1545,Pomerol,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1546,Pomino,Italy,Tuscany,DOC,White,Chardonnay; Pinot Bianco
1547,Pommard,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
1548,Pomorie,Bulgaria,Black Sea,PDO,White,Dimyat
1549,Pornassio,Italy,Liguria,DOC,Red,Ormeasco
1550,Porongurup,Australia,Western Australia,GI,White,Riesling
1551,Port Phillip,Australia,Victoria,GI,Red,Pinot Noir
1552,Portalegre,Portugal,Alentejo,DOC,Red,Trincadeira; Grand Noir
1553,Portimão,Portugal,Algarve,DOC,Red,Negra Mole
1554,Porto Branco,Portugal,Douro,DOC,Fortified,Malvasia Fina; Gouveio
1555,Porto Colheita,Portugal,Douro,DOC,Fortified,Touriga Franca; Tinta Roriz
1556,Porto Crusted,Portugal,Douro,DOC,Fortified,Touriga Franca; Tinta Barroca
1557,Porto Garrafeira,Portugal,Douro,DOC,Fortified,Touriga Franca
1558,Porto Late Bottled Vintage,Portugal,Douro,DOC,Fortified,Touriga Franca; Tinta Barroca
1559,Porto Rosé,Portugal,Douro,DOC,Fortified,Touriga Nacional
1560,Porto Ruby,Portugal,Douro,DOC,Fortified,Touriga Nacional; Touriga Franca
1561,Porto Tawny,Portugal,Douro,DOC,Fortified,Touriga Franca; Tinta Roriz
1562,Porto Vintage,Portugal,Douro,DOC,Fortified,Touriga Nacional; Touriga Franca
1563,Pošip Čara-Smokvica,Croatia,Dalmatia,PDO,White,Pošip
1564,Postup,Croatia,Dalmatia,PDO,Red,Plavac Mali
1565,Potter Valley,United States,California (Mendocino),AVA,White,Riesling; Sauvignon Blanc
1566,Pouilly-Fuissé,France,Burgundy (Mâconnais),AOC,White,Chardonnay
1567,Pouilly-Fumé,France,Loire (Central),AOC,White,Sauvignon Blanc
1568,Pouilly-Loché,France,Burgundy (Mâconnais),AOC,White,Chardonnay
1569,Pouilly-sur-Loire,France,Loire (Central),AOC,White,Chasselas
1570,Pouilly-Vinzelles,France,Burgundy (Mâconnais),AOC,White,Chardonnay
1571,Prado de Irache,Spain,Navarra & Aragón,DO de Pago,Red,Tempranillo
1572,Praelatenberg,France,Alsace,AOC Grand Cru,White,Riesling
1573,Prekmurje,Slovenia,Podravje,PDO,White,Laški Rizling
1574,Primitivo di Manduria,Italy,Puglia,DOC,Red,Primitivo
1575,Primitivo di Manduria Dolce Naturale,Italy,Puglia,DOCG,Sweet Red,Primitivo
1576,Prince Edward County,Canada,Ontario,VQA,Red,Pinot Noir; Chardonnay
1577,Priorat,Spain,Catalonia,DOQ,Red,Garnacha; Cariñena
1578,Priorat Vi de Vila,Spain,Catalonia,DOQ,Red,Garnacha; Cariñena
1579,Progreso,Uruguay,Canelones,Regional,Red,Tannat
1580,Prosecco,Italy,Veneto,DOC,Sparkling,Glera
1581,Prošek,Croatia,Dalmatia,Traditional,Sweet White,Bogdanuša; Maraština
1582,Puebla,Mexico,Puebla,Regional,Red,Merlot
1583,Puente Alto,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1584,Puget Sound,United States,Washington,AVA,White,Madeleine Angevine; Siegerrebe
1585,Puisieulx,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
1586,Puisseguin-Saint-Émilion,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1587,Puligny-Montrachet,France,Burgundy (Côte de Beaune),AOC,White,Chardonnay
1588,Puyméras,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1589,Pyrenees (Victoria),Australia,Victoria,GI,Red,Shiraz; Cabernet Sauvignon
1590,Qingdao,China,Shandong,Regional,White,Chardonnay
1591,Qingtongxia,China,Ningxia,Regional,Red,Cabernet Sauvignon
1592,Quarts de Chaume,France,Loire (Anjou-Saumur),AOC Grand Cru,Sweet White,Chenin Blanc
1593,Quebrada de Humahuaca,Argentina,Jujuy,GI,Red,Malbec
1594,Querétaro,Mexico,Querétaro,Regional,Sparkling,Chardonnay; Pinot Noir
1595,Quincy,France,Loire (Central),AOC,White,Sauvignon Blanc
1596,Radgona-Kapela,Slovenia,Podravje,PDO,Sparkling,Chardonnay
1597,Rahovec,Kosovo,Rahovec,Regional,Red,Vranac; Merlot
1598,Ramandolo,Italy,Friuli-Venezia Giulia,DOCG,Sweet White,Verduzzo Friulano
1599,Ramona Valley,United States,California (Southern),AVA,Red,Syrah; Grenache
1600,Rangen,France,Alsace,AOC Grand Cru,White,Riesling; Pinot Gris
1601,Rapel Valley,Chile,Central Valley,DO,Red,Cabernet Sauvignon; Carmenère
1602,Rapsani,Greece,Thessaly,PDO,Red,Xinomavro; Krassato; Stavroto
1603,Rara Neagră,Moldova,National,Grape wine,Red,Rara Neagră
1604,Rasteau,France,Rhône (Southern),AOC,Red,Grenache
1605,Rasteau Vin Doux Naturel,France,Rhône (Southern),AOC,Fortified,Grenache
1606,Rattlesnake Hills,United States,Washington,AVA,Red,Cabernet Sauvignon
1607,Recaș,Romania,Banat & Crișana,DOC,Red,Fetească Neagră; Cabernet Sauvignon
1608,Recioto della Valpolicella,Italy,Veneto,DOCG,Sweet Red,Corvina; Rondinella
1609,Recioto di Gambellara,Italy,Veneto,DOCG,Sweet White,Garganega
1610,Recioto di Soave,Italy,Veneto,DOCG,Sweet White,Garganega
1611,Red Hill Douglas County,United States,Oregon,AVA,Red,Pinot Noir
1612,Red Hills Lake County,United States,California (Lake),AVA,Red,Cabernet Sauvignon
1613,Red Mountain,United States,Washington,AVA,Red,Cabernet Sauvignon
1614,Redondo,Portugal,Alentejo,DOC,Red,Aragonez; Trincadeira
1615,Redwood Valley,United States,California (Mendocino),AVA,Red,Zinfandel; Cabernet Sauvignon
1616,Refosco dal Peduncolo Rosso,Italy,Friuli-Venezia Giulia,DOC,Red,Refosco dal Peduncolo Rosso
1617,Régnié,France,Beaujolais,AOC Cru,Red,Gamay
1618,Reguengos,Portugal,Alentejo,DOC,Red,Trincadeira; Aragonez
1619,Remstal-Stuttgart,Germany,Württemberg,Bereich,Red,Trollinger
1620,Rengo,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1621,Reno,Italy,Emilia-Romagna,DOC,White,Montuni
1622,Requínoa,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1623,Rethymno,Greece,Crete,PGI,White,Vilana
1624,Retsina,Greece,Attica,Traditional appellation,White,Savatiano
1625,Reuilly,France,Loire (Central),AOC,White,Sauvignon Blanc
1626,Rheingau,Germany,Rheingau,Anbaugebiet,White,Riesling; Spätburgunder
1627,Rheinhessen,Germany,Rheinhessen,Anbaugebiet,White,Riesling; Silvaner; Müller-Thurgau
1628,Rhodes,Greece,Aegean Islands,PDO,White,Athiri
1629,Rías Baixas,Spain,Galicia,DO,White,Albariño
1630,Ribbon Ridge,United States,Oregon,AVA,Red,Pinot Noir
1631,Ribeira Sacra,Spain,Galicia,DO,Red,Mencía
1632,Ribeiro,Spain,Galicia,DO,White,Treixadura; Godello
1633,Ribera del Duero,Spain,Castilla y León,DO,Red,Tinto Fino
1634,Ribera del Guadiana,Spain,Extremadura,DO,Red,Tempranillo; Garnacha
1635,Ribera del Júcar,Spain,Castilla-La Mancha,DO,Red,Cencibel; Bobal
1636,Richebourg,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1637,Riebeekberg,South Africa,Coastal Region,WO,Red,Syrah
1638,Riesi,Italy,Sicily,DOC,Red,Nero d'Avola
1639,Río Hurtado,Chile,Coquimbo,DO,Red,Syrah
1640,Río Negro,Argentina,Patagonia,GI,Red,Pinot Noir; Malbec
1641,Rioja,Spain,Rioja,DOCa,Red,Tempranillo; Garnacha; Graciano; Mazuelo
1642,Rioja Alavesa,Spain,Rioja,DOCa,Red,Tempranillo
1643,Rioja Alta,Spain,Rioja,DOCa,Red,Tempranillo; Graciano
1644,Rioja Blanco,Spain,Rioja,DOCa,White,Viura; Malvasía; Garnacha Blanca
1645,Rioja Gran Reserva,Spain,Rioja,DOCa,Red,Tempranillo; Graciano
1646,Rioja Oriental,Spain,Rioja,DOCa,Red,Garnacha; Tempranillo
1647,Ripaille,France,Savoie & Bugey,Cru,White,Chasselas
1648,River Junction,United States,California (Central Valley),AVA,White,Chardonnay
1649,Rivera,Uruguay,Rivera,Regional,Red,Tannat; Cabernet Franc
1650,Riverina,Australia,New South Wales,GI,Sweet White,Semillon
1651,Riverland,Australia,South Australia,GI,Red,Shiraz; Chardonnay
1652,Rivesaltes,France,Roussillon,AOC,Fortified,Grenache; Macabeu
1653,Riviera del Brenta,Italy,Veneto,DOC,Red,Merlot; Refosco
1654,Riviera del Garda Classico,Italy,Lombardy,DOC,Rosé,Groppello
1655,Riviera Ligure di Ponente,Italy,Liguria,DOC,White,Pigato; Vermentino
1656,Roaix,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1657,Robe,Australia,South Australia,GI,Red,Cabernet Sauvignon
1658,Robertson,South Africa,Breede River Valley,WO,White,Chardonnay; Sauvignon Blanc
1659,Robola of Cephalonia,Greece,Ionian Islands,PDO,White,Robola
1660,Rochegude,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1661,Rockpile,United States,California (Sonoma),AVA,Red,Zinfandel
1662,Rocks District of Milton-Freewater,United States,Oregon,AVA,Red,Syrah
1663,Rocky Knob,United States,Virginia,AVA,White,Riesling
1664,Rocky Reach,United States,Washington,AVA,White,Riesling
1665,Roero,Italy,Piedmont,DOCG,Red,Nebbiolo
1666,Roero Arneis,Italy,Piedmont,DOCG,White,Arneis
1667,Rogue Valley,United States,Oregon,AVA,Red,Syrah; Cabernet Sauvignon
1668,Roma,Italy,Lazio,DOC,Red,Montepulciano; Sangiovese
1669,Romagna Albana,Italy,Emilia-Romagna,DOCG,White,Albana
1670,Romagna Cagnina,Italy,Emilia-Romagna,DOC,Sweet Red,Terrano
1671,Romagna Pagadebit,Italy,Emilia-Romagna,DOC,White,Bombino Bianco
1672,Romagna Sangiovese,Italy,Emilia-Romagna,DOC,Red,Sangiovese
1673,Romagna Trebbiano,Italy,Emilia-Romagna,DOC,White,Trebbiano Romagnolo
1674,Romanée-Conti,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1675,Romanée-Saint-Vivant,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1676,Rosacker,France,Alsace,AOC Grand Cru,White,Riesling
1677,Rosalia,Austria,Burgenland,DAC,Red,Blaufränkisch; Zweigelt
1678,Rosazzo,Italy,Friuli-Venezia Giulia,DOCG,White,Friulano; Ribolla Gialla
1679,Rosé d'Anjou,France,Loire (Anjou-Saumur),AOC,Rosé,Grolleau; Gamay
1680,Rosé de Loire,France,Loire (Anjou-Saumur),AOC,Rosé,Cabernet Franc; Grolleau
1681,Rosé des Riceys,France,Champagne,AOC,Rosé,Pinot Noir
1682,Rosette,France,Southwest France,AOC,Sweet White,Sémillon; Sauvignon Blanc
1683,Rossese di Dolceacqua,Italy,Liguria,DOC,Red,Rossese
1684,Rosso Conero,Italy,Marche,DOC,Red,Montepulciano
1685,Rosso di Cerignola,Italy,Puglia,DOC,Red,Nero di Troia; Negroamaro
1686,Rosso di Montalcino,Italy,Tuscany,DOC,Red,Sangiovese
1687,Rosso di Montepulciano,Italy,Tuscany,DOC,Red,Sangiovese
1688,Rosso di Valtellina,Italy,Lombardy,DOC,Red,Chiavennasca
1689,Rosso Orvietano,Italy,Umbria,DOC,Red,Sangiovese; Merlot
1690,Rosso Piceno,Italy,Marche,DOC,Red,Montepulciano; Sangiovese
1691,Roter Hang (Nierstein),Germany,Rheinhessen,Bereich,White,Riesling
1692,Rousset-les-Vignes,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1693,Roussette de Savoie,France,Savoie & Bugey,AOC,White,Altesse
1694,Royal Slope,United States,Washington,AVA,Red,Cabernet Sauvignon
1695,Rubin,Bulgaria,National,Grape wine,Red,Rubin
1696,Rubino di Cantavenna,Italy,Piedmont,DOC,Red,Barbera; Grignolino
1697,Ruchè di Castagnole Monferrato,Italy,Piedmont,DOCG,Red,Ruchè
1698,Ruchottes-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1699,Rüdesheimer Berg Schlossberg,Germany,Rheingau,Einzellage,White,Riesling
1700,Rueda,Spain,Castilla y León,DO,White,Verdejo; Sauvignon Blanc
1701,Rully,France,Burgundy (Côte Chalonnaise),AOC,White,Chardonnay
1702,Russell,Argentina,Mendoza,GI,Red,Malbec
1703,Russian River Valley,United States,California (Sonoma),AVA,Red,Pinot Noir; Chardonnay
1704,Ruster Ausbruch,Austria,Burgenland,DAC,Sweet White,Furmint; Welschriesling
1705,Ruster Hügelland,Austria,Burgenland,Regional,White,Furmint
1706,Rutherford,United States,California (Napa),AVA,Red,Cabernet Sauvignon
1707,Rutherglen,Australia,Victoria,GI,Fortified,Muscat à Petits Grains Rouge
1708,Rutherglen Muscat,Australia,Victoria,GI,Fortified,Muscat à Petits Grains Rouge
1709,Rutherglen Topaque,Australia,Victoria,GI,Fortified,Muscadelle
1710,Ruwer,Germany,Mosel,Bereich,White,Riesling
1711,Saale-Unstrut,Germany,Saale-Unstrut,Anbaugebiet,White,Müller-Thurgau; Weissburgunder
1712,Saar,Germany,Mosel,Bereich,White,Riesling
1713,Sablet,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1714,Sachsen,Germany,Sachsen,Anbaugebiet,White,Müller-Thurgau; Riesling
1715,Saddle Rock-Malibu,United States,California (Southern),AVA,Red,Cabernet Sauvignon
1716,Saering,France,Alsace,AOC Grand Cru,White,Riesling
1717,Sagrada Familia,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1718,Sahyadri Valley,India,Maharashtra,Regional,Red,Cabernet Sauvignon
1719,Saint John River Valley,Canada,New Brunswick,Regional,White,L'Acadie Blanc
1720,Saint-Amour,France,Beaujolais,AOC Cru,Red,Gamay
1721,Saint-Andéol,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1722,Saint-Aubin,France,Burgundy (Côte de Beaune),AOC,White,Chardonnay
1723,Saint-Bris,France,Burgundy (Chablis),AOC,White,Sauvignon Blanc
1724,Saint-Chinian,France,Languedoc,AOC,Red,Syrah; Grenache; Mourvèdre
1725,Saint-Émilion,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1726,Saint-Émilion Grand Cru,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1727,Saint-Estèphe,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1728,Saint-Georges-d'Orques,France,Languedoc,AOC,Red,Syrah; Grenache
1729,Saint-Georges-Saint-Émilion,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1730,Saint-Gervais,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1731,Saint-Jean-de-la-Porte,France,Savoie & Bugey,Cru,Red,Mondeuse Noire
1732,Saint-Jeoire-Prieuré,France,Savoie & Bugey,Cru,White,Jacquère
1733,Saint-Joseph,France,Rhône (Northern),AOC,Red,Syrah
1734,Saint-Julien,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1735,Saint-Maurice,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1736,Saint-Mont,France,Southwest France,AOC,Red,Tannat; Fer Servadou
1737,Saint-Nicolas-de-Bourgueil,France,Loire (Touraine),AOC,Red,Cabernet Franc
1738,Saint-Pantaléon-les-Vignes,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1739,Saint-Péray,France,Rhône (Northern),AOC,White,Marsanne; Roussanne
1740,Saint-Pourçain,France,Loire (Auvergne),AOC,Red,Gamay; Pinot Noir
1741,Saint-Romain,France,Burgundy (Côte de Beaune),AOC,White,Chardonnay
1742,Saint-Saphorin,Switzerland,Vaud,Grand Cru,White,Chasselas
1743,Saint-Véran,France,Burgundy (Mâconnais),AOC,White,Chardonnay
1744,Sainte-Cécile,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1745,Sainte-Croix-du-Mont,France,Bordeaux (Entre-Deux-Mers),AOC,Sweet White,Sémillon; Sauvignon Blanc
1746,Sainte-Foy-Côtes de Bordeaux,France,Bordeaux (Entre-Deux-Mers),AOC,Red,Merlot; Cabernet Sauvignon
1747,Sais,Morocco,Meknès,AOG,Red,Carignan; Cinsault
1748,Sakar,Bulgaria,Thracian Valley,PDO,Red,Merlot; Mavrud
1749,Salado Creek,United States,California (Central Valley),AVA,Red,Cabernet Sauvignon
1750,Salaparuta,Italy,Sicily,DOC,Red,Nero d'Avola
1751,Salento,Italy,Puglia,IGT,Red,Primitivo; Negroamaro
1752,Salice Salentino,Italy,Puglia,DOC,Red,Negroamaro
1753,Salto,Uruguay,Salto,Regional,Red,Tannat
1754,Samarkand,Uzbekistan,Samarkand,Regional,Sweet White,Bayan Shirey; Muscat
1755,Sambuca di Sicilia,Italy,Sicily,DOC,Red,Nero d'Avola
1756,Sâmburești,Romania,Oltenia,DOC,Red,Cabernet Sauvignon
1757,Samegrelo,Georgia,Samegrelo,Regional,Red,Ojaleshi
1758,Sammarinese,San Marino,San Marino,Regional,Red,Sangiovese
1759,Samson,Israel,Samson,Regional,White,Chardonnay; Sauvignon Blanc
1760,San Antonio Valley,Chile,Aconcagua,DO,White,Sauvignon Blanc; Pinot Noir
1761,San Antonio Valley (California),United States,California (Central Coast),AVA,Red,Syrah
1762,San Benito,United States,California (Central Coast),AVA,Red,Pinot Noir; Grenache
